DIA_TRANSPORTE,DIA_SEMANA,NOMBRE_EMPRESA,LINEA,AMBA,TIPO_TRANSPORTE,JURISDICCION,PROVINCIA,MUNICIPIO,CANTIDAD,DATO_PRELIMINAR
2022-01-05,Wednesday,SOFSE- TREN DE LA COSTA,FFCC_TREN_COSTA,SI,TREN,NACIONAL,JN,SD,2069,NO
2022-01-06,Thursday,SOFSE - Mitre,FCC MITRE_TIGRE,SI,TREN,NACIONAL,JN,SD,50238,NO
2022-01-06,Thursday,SOFSE - Roca,FFCC ROCA,SI,TREN,NACIONAL,JN,SD,312831,NO
2022-01-06,Thursday,SOFSE- SARMIENTO,FFCC SAR  MERLO - LOBOS,SI,TREN,NACIONAL,JN,SD,1328,NO
2022-01-06,Thursday,SOFSE- SARMIENTO,FFCC SAR MORENO - MERCEDES,SI,TREN,NACIONAL,JN,SD,19,NO
2022-01-06,Thursday,SOFSE- SARMIENTO,FFCC SAR,SI,TREN,NACIONAL,JN,SD,95295,NO
2022-01-06,Thursday,SOFSE - TREN DEL VALLE,FFCC TREN DEL VALLE,NO,TREN,NACIONAL,JN,SD,452,NO
2022-01-06,Thursday,METROVIAS S.A. (URQUIZA),FFCC URQUIZA,SI,TREN,NACIONAL,JN,SD,37468,NO
2022-01-06,Thursday,SOFSE - Belgrano Sur,FFCC_BELG_SUR,SI,TREN,NACIONAL,JN,SD,38091,NO
2022-01-06,Thursday,FERROVIAS S.A.,FFCC_BELGRANO_NORTE,SI,TREN,NACIONAL,JN,SD,56429,NO
2022-01-06,Thursday,SOFSE - Mitre,FFCC_MITRE,SI,TREN,NACIONAL,JN,SD,473,NO
2022-01-06,Thursday,SOFSE - Mitre,FFCC_MITRE_ZARATE,SI,TREN,NACIONAL,JN,SD,208,NO
2022-01-06,Thursday,SOFSE - Roca,FFCC_ROCA_CAÑUELAS-LOBOS,SI,TREN,NACIONAL,JN,SD,31,NO
2022-01-06,Thursday,SOFSE - Roca,FFCC_ROCA_CAÑUELAS-MONTE,SI,TREN,NACIONAL,JN,SD,74,NO
2022-01-06,Thursday,SOFSE - Roca,FFCC_ROCA_KORN-CHASCOMUS,SI,TREN,NACIONAL,JN,SD,540,NO
2022-01-06,Thursday,SOFSE - Roca,FFCC_ROCA_UNIVERSITARIO,SI,TREN,NACIONAL,JN,SD,224,NO
2022-01-06,Thursday,SOFSE - San Martin,FFCC_SANM,SI,TREN,NACIONAL,JN,SD,74805,NO
2022-01-06,Thursday,SOFSE - Mitre,FFCC_SUAREZ,SI,TREN,NACIONAL,JN,SD,34121,NO
2022-01-06,Thursday,SOFSE- TREN DE LA COSTA,FFCC_TREN_COSTA,SI,TREN,NACIONAL,JN,SD,1970,NO
2022-01-07,Friday,SOFSE - Mitre,FCC MITRE_TIGRE,SI,TREN,NACIONAL,JN,SD,50098,NO
2022-01-07,Friday,SOFSE - Roca,FFCC ROCA,SI,TREN,NACIONAL,JN,SD,305081,NO
2022-01-07,Friday,SOFSE- SARMIENTO,FFCC SAR  MERLO - LOBOS,SI,TREN,NACIONAL,JN,SD,1825,NO
2022-01-07,Friday,SOFSE- SARMIENTO,FFCC SAR MORENO - MERCEDES,SI,TREN,NACIONAL,JN,SD,28,NO
2022-01-07,Friday,SOFSE- SARMIENTO,FFCC SAR,SI,TREN,NACIONAL,JN,SD,114599,NO
2022-01-07,Friday,SOFSE - TREN DEL VALLE,FFCC TREN DEL VALLE,NO,TREN,NACIONAL,JN,SD,455,NO
2022-01-07,Friday,METROVIAS S.A. (URQUIZA),FFCC URQUIZA,SI,TREN,NACIONAL,JN,SD,37510,NO
2022-01-07,Friday,SOFSE - Belgrano Sur,FFCC_BELG_SUR,SI,TREN,NACIONAL,JN,SD,37868,NO
2022-01-07,Friday,FERROVIAS S.A.,FFCC_BELGRANO_NORTE,SI,TREN,NACIONAL,JN,SD,56721,NO
2022-01-07,Friday,SOFSE - Mitre,FFCC_MITRE,SI,TREN,NACIONAL,JN,SD,450,NO
2022-01-07,Friday,SOFSE - Mitre,FFCC_MITRE_ZARATE,SI,TREN,NACIONAL,JN,SD,279,NO
2022-01-07,Friday,SOFSE - Roca,FFCC_ROCA_CAÑUELAS-LOBOS,SI,TREN,NACIONAL,JN,SD,48,NO
2022-01-07,Friday,SOFSE - Roca,FFCC_ROCA_CAÑUELAS-MONTE,SI,TREN,NACIONAL,JN,SD,114,NO
2022-01-07,Friday,SOFSE - Roca,FFCC_ROCA_KORN-CHASCOMUS,SI,TREN,NACIONAL,JN,SD,558,NO
2022-01-07,Friday,SOFSE - Roca,FFCC_ROCA_UNIVERSITARIO,SI,TREN,NACIONAL,JN,SD,181,NO
